'', 'time', 'frame', 'subF', '1stSym', 'symbol#', 'cellId', 'rnti', 'ccId', 'tbSize', 'mcs', 'rv', 'SINR(dB)', 'corrupt', 'TBler'
'DL', '0.796371', '796', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-2.98562', '0', '0'
'DL', '0.797371', '797', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-2.44761', '0', '0'
'DL', '0.798342', '798', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.93235', '0', '0'
'DL', '0.799342', '799', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.4545', '0', '0'
'DL', '0.800342', '800', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '0.187876', '0', '0'
'DL', '0.801329', '801', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.338877', '0', '0'
'DL', '0.802329', '802', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.448982', '0', '0'
'DL', '0.803329', '803', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.492418', '0', '0'
'DL', '0.804329', '804', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.448736', '0', '0'
'DL', '0.805329', '805', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.302844', '0', '0'
'DL', '0.806329', '806', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '0.044944', '0', '0'
'DL', '0.807329', '807', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.328872', '0', '2.82319e-08'
'DL', '0.808329', '808', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.814665', '0', '0.135139'
'DL', '0.809342', '809', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.39643', '0', '0'
'DL', '0.810342', '810', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.03898', '0', '4.79616e-14'
'DL', '0.811342', '811', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.67928', '0', '0.0356935'
'DL', '0.812342', '812', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-3.22314', '1', '0.998785'
'DL', '0.813371', '813', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.56223', '0', '0'
'DL', '0.814371', '814', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.62023', '0', '0'
'DL', '0.815371', '815', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.40004', '0', '0'
'DL', '0.816371', '816', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-2.98199', '0', '0'
'DL', '0.817371', '817', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-2.47516', '0', '0'
'DL', '0.818342', '818', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.97247', '0', '2.66454e-15'
'DL', '0.819342', '819', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.53526', '0', '0'
'DL', '0.820342', '820', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.19682', '0', '0'
'DL', '0.821342', '821', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.970693', '0', '0'
'DL', '0.822342', '822', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.857058', '0', '0'
'DL', '0.823342', '823', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.846124', '0', '0'
'DL', '0.824342', '824', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.919205', '0', '0'
'DL', '0.825342', '825', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.04865', '0', '0'
'DL', '0.826342', '826', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.19826', '0', '0'
'DL', '0.827342', '827', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.32623', '0', '0'
'DL', '0.828342', '828', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.39219', '0', '0'
'DL', '0.829342', '829', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.36784', '0', '0'
'DL', '0.830342', '830', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.24655', '0', '0'
'DL', '0.831342', '831', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.04572', '0', '0'
'DL', '0.832342', '832', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.800183', '0', '0'
'DL', '0.833342', '833', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.551457', '0', '0'
'DL', '0.834342', '834', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.338768', '0', '0'
'DL', '0.835342', '835', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.194321', '0', '0'
'DL', '0.836342', '836', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.142159', '0', '0'
'DL', '0.837342', '837', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.198927', '0', '0'
'DL', '0.838342', '838', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.374918', '0', '0'
'DL', '0.839342', '839', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.674243', '0', '0'
'DL', '0.840342', '840', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.0934', '0', '0'
'DL', '0.841342', '841', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.61764', '0', '0'
'DL', '0.842342', '842', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.21439', '0', '9.55547e-12'
'DL', '0.843342', '843', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.82475', '0', '0.0215828'
'DL', '0.844342', '844', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-3.35867', '1', '0.998278'
'DL', '0.845371', '845', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.70797', '0', '0'
'DL', '0.846371', '846', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.78837', '0', '0'
'DL', '0.847371', '847', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.58922', '0', '0'
'DL', '0.848371', '848', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.18106', '0', '0'
'DL', '0.849371', '849', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-2.67176', '0', '0'
'DL', '0.850342', '850', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.15857', '0', '3.88578e-13'
'DL', '0.851342', '851', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.70822', '0', '0'
'DL', '0.852342', '852', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.35881', '0', '0'
'DL', '0.853342', '853', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.12817', '0', '0'
'DL', '0.854342', '854', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.02054', '0', '0'
'DL', '0.855342', '855', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.03027', '0', '0'
'DL', '0.856342', '856', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.143', '0', '0'
'DL', '0.857342', '857', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.33501', '0', '6.66134e-16'
'DL', '0.858342', '858', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.57185', '0', '7.39853e-13'
'DL', '0.859342', '859', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.80851', '0', '1.86851e-12'
'DL', '0.860342', '860', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.99416', '0', '1.76992e-12'
'DL', '0.861342', '861', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.08325', '0', '3.05533e-13'
'DL', '0.862342', '862', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.05045', '0', '3.55271e-15'
'DL', '0.863342', '863', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.9009', '0', '0'
'DL', '0.864342', '864', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.66813', '0', '0'
'DL', '0.865342', '865', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.40106', '0', '0'
'DL', '0.866342', '866', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.14957', '0', '0'
'DL', '0.867342', '867', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.955594', '0', '0'
'DL', '0.868342', '868', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.850422', '0', '0'
'DL', '0.869342', '869', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.855384', '0', '0'
'DL', '0.870342', '870', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.98336', '0', '0'
'DL', '0.871342', '871', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.23954', '0', '0'
'DL', '0.872342', '872', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.62022', '0', '0'
'DL', '0.873342', '873', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.10858', '0', '2.50229e-06'
'DL', '0.874342', '874', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-2.66715', '1', '0.777378'
'DL', '0.875371', '875', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.22819', '0', '0'
'DL', '0.876371', '876', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.68954', '0', '0'
'DL', '0.877371', '877', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.93301', '0', '0'
'DL', '0.878371', '878', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.87668', '0', '0'
'DL', '0.879371', '879', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-3.52761', '0', '0'
'DL', '0.880371', '880', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-2.97646', '0', '0'
'DL', '0.881371', '881', '3', '1', '16', '1', '1', '0', '1131', '2', '0', '-2.34059', '0', '0'
'DL', '0.882342', '882', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.7162', '0', '0'
'DL', '0.883342', '883', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.16457', '0', '0'
'DL', '0.884342', '884', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.718021', '0', '0'
'DL', '0.885329', '885', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.389638', '0', '2.38265e-05'
'DL', '0.886329', '886', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.180538', '0', '6.38299e-09'
'DL', '0.887329', '887', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.0838015', '0', '8.05005e-11'
'DL', '0.888329', '888', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.0859379', '0', '3.64588e-09'
'DL', '0.889329', '889', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.167018', '0', '1.93134e-05'
'DL', '0.890329', '890', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.300495', '0', '0.0158033'
'DL', '0.891329', '891', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.453773', '0', '0.267147'
'DL', '0.892342', '892', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.590941', '0', '0'
'DL', '0.893342', '893', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.678706', '0', '0'
'DL', '0.894342', '894', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.694621', '0', '0'
'DL', '0.895342', '895', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.633954', '0', '0'
'DL', '0.896342', '896', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.51124', '0', '0'
'DL', '0.897329', '897', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.355569', '0', '7.21013e-05'
'DL', '0.898329', '898', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.202508', '0', '3.57241e-07'
'DL', '0.899329', '899', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.0867498', '0', '8.95531e-08'
'DL', '0.900329', '900', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.965986', '1', '0.999979'
'DL', '0.901342', '901', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.750951', '0', '0'
'DL', '0.902342', '902', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.529304', '0', '0'
'DL', '0.903342', '903', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.331075', '0', '0'
'DL', '0.904329', '904', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.179481', '0', '5.72309e-05'
'DL', '0.905329', '905', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.0898691', '0', '2.36796e-05'
'DL', '0.906329', '906', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.0699261', '0', '0.00013166'
'DL', '0.907329', '907', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.120144', '0', '0.0779618'
'DL', '0.908329', '908', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.233876', '0', '0.0711542'
'DL', '0.909329', '909', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.397097', '0', '0.046005'
'DL', '0.910329', '910', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.588469', '1', '0.63271'
'DL', '0.911342', '911', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.780339', '0', '0'
'DL', '0.912342', '912', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.941536', '0', '0'
'DL', '0.913342', '913', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.04294', '0', '0'
'DL', '0.914342', '914', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.06509', '0', '0'
'DL', '0.915342', '915', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.00432', '0', '0'
'DL', '0.916342', '916', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.873861', '0', '0'
'DL', '0.917342', '917', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.699458', '0', '0'
'DL', '0.918342', '918', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.512253', '0', '0'
'DL', '0.919342', '919', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.342089', '0', '0'
'DL', '0.920329', '920', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.213308', '0', '0.000118972'
'DL', '0.921329', '921', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.143111', '0', '0.0128326'
'DL', '0.922329', '922', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.141287', '0', '0.000875849'
'DL', '0.923329', '923', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.210252', '0', '0.00156308'
'DL', '0.924329', '924', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.345023', '0', '0.275487'
'DL', '0.925342', '925', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.532984', '0', '0'
'DL', '0.926342', '926', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.753508', '0', '0'
'DL', '0.927342', '927', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.978203', '0', '0'
'DL', '0.928342', '928', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.17335', '0', '0'
'DL', '0.929342', '929', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.3057', '0', '0'
'DL', '0.930342', '930', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.35089', '0', '0'
'DL', '0.931342', '931', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.3013', '0', '0'
'DL', '0.932342', '932', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.16873', '0', '0'
'DL', '0.933342', '933', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.980283', '0', '0'
'DL', '0.934342', '934', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.770108', '0', '0'
'DL', '0.935342', '935', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.571413', '0', '0'
'DL', '0.936342', '936', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.41147', '0', '0'
'DL', '0.937342', '937', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.309548', '0', '0'
'DL', '0.938342', '938', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.276753', '0', '0'
'DL', '0.939329', '939', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.316501', '0', '0.0331645'
'DL', '0.940329', '940', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.424735', '0', '0.0028349'
'DL', '0.941329', '941', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.589664', '0', '0.168443'
'DL', '0.942342', '942', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.791431', '0', '0'
'DL', '0.943342', '943', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.00248', '0', '0'
'DL', '0.944342', '944', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.18978', '0', '0'
'DL', '0.945342', '945', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.32004', '0', '0'
'DL', '0.946342', '946', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.36776', '0', '0'
'DL', '0.947342', '947', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.32322', '0', '0'
'DL', '0.948342', '948', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.19584', '0', '0'
'DL', '0.949342', '949', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.0109', '0', '0'
'DL', '0.950342', '950', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.801683', '0', '0'
'DL', '0.951342', '951', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.601492', '0', '0'
'DL', '0.952342', '952', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.438279', '0', '0'
'DL', '0.953342', '953', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.332375', '0', '0'
'DL', '0.954329', '954', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.296129', '0', '0.01505'
'DL', '0.955329', '955', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.334257', '0', '0.0173965'
'DL', '0.956329', '956', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.444051', '0', '0.00854311'
'DL', '0.957329', '957', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.615114', '0', '0.0237096'
'DL', '0.958329', '958', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.828808', '0', '0.318272'
'DL', '0.959342', '959', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.0582', '0', '0'
'DL', '0.960342', '960', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.26977', '0', '0'
'DL', '0.961342', '961', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.42809', '0', '0'
'DL', '0.962342', '962', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.50389', '0', '0'
'DL', '0.963342', '963', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.48289', '0', '0'
'DL', '0.964342', '964', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.37087', '0', '0'
'DL', '0.965342', '965', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.19164', '0', '0'
'DL', '0.966342', '966', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.979257', '0', '0'
'DL', '0.967342', '967', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.76913', '0', '0'
'DL', '0.968342', '968', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.591605', '0', '0'
'DL', '0.969342', '969', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.46913', '0', '0'
'DL', '0.970329', '970', '3', '1', '6', '1', '1', '0', '1157', '6', '0', '-0.415759', '0', '0.152888'
'DL', '0.971342', '971', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.437526', '0', '0'
'DL', '0.972342', '972', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.532744', '0', '0'
'DL', '0.973342', '973', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.691901', '0', '0'
'DL', '0.974342', '974', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.897156', '0', '0'
'DL', '0.975342', '975', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.12209', '0', '0'
'DL', '0.976342', '976', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.33304', '0', '0'
'DL', '0.977342', '977', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.49357', '0', '0'
'DL', '0.978342', '978', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.57235', '0', '0'
'DL', '0.979342', '979', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.55243', '0', '0'
'DL', '0.980342', '980', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.4373', '0', '0'
'DL', '0.981342', '981', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.24969', '0', '0'
'DL', '0.982342', '982', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-1.0237', '0', '0'
'DL', '0.983342', '983', '3', '1', '9', '1', '1', '0', '1099', '4', '0', '-0.795433', '0', '0'
